"episodeId","episodeTitle","episodeCategories","episodeUrl","episodeImageUrls"
88250,"Lucius","Comedy,Fantasy,Drama","https://tapastic.com/episode/88250",""
88228,"salutations, pt. 1","Slice of Life,Comedy","https://tapastic.com/episode/88228","https://d30womf5coomej.cloudfront.net/c/be/5b/f3/64/eef1f121a34d4850998b3678796eb6b7.jpg"
88214,"Gifts","Comedy","https://tapastic.com/episode/88214","https://d30womf5coomej.cloudfront.net/c/09/6f/57/49/6580251fab11483bbb7f283ca66c2177.jpg"
88195,"You think this is a joke?","Slice of Life,Comedy","https://tapastic.com/episode/88195","https://d30womf5coomej.cloudfront.net/c/cc/44/5d/11/113b8904f7fd41f8b979ecaa471c9cae.jpg;https://d30womf5coomej.cloudfront.net/c/56/5d/06/1f/11f92e476af741168e03c812416c2d4a.jpg;https://d30womf5coomej.cloudfront.net/c/67/79/60/a8/8df0990f13aa4be4a0a2bfefe0effc8f.jpg;https://d30womf5coomej.cloudfront.net/c/63/91/71/58/58e9aa2de82d402ca045f746d2b4ad57.jpg;https://d30womf5coomej.cloudfront.net/c/ff/dc/1d/78/1e1c5a4120134e8b86b9d869dfec5a85.jpg;https://d30womf5coomej.cloudfront.net/c/82/dc/13/b0/341e6e30999d4d6d925ee0521f4e8db7.jpg"
88159,"enslaved","Slice of Life,Comedy","https://tapastic.com/episode/88159","https://d30womf5coomej.cloudfront.net/c/8a/1c/5a/2a/7be26cac629b401cb5c18d9e944d4d84.jpg"
88152,"Chapter one? (Part 1)","Slice of Life,Comedy,Romance","https://tapastic.com/episode/88152","https://d30womf5coomej.cloudfront.net/c/30/1b/37/8c/2a8b46015a3f4af1b360bba537db5243.jpg;https://d30womf5coomej.cloudfront.net/c/6b/25/60/b5/a33b9d53d92c40e79206a46e6cbc2ac2.jpg;https://d30womf5coomej.cloudfront.net/c/37/8e/62/77/a394b953238d4ac79226f93e656374f2.jpg;https://d30womf5coomej.cloudfront.net/c/c8/a4/eb/d9/266f71d8dddc4e98ae38aa1cdde031b5.jpg;https://d30womf5coomej.cloudfront.net/c/53/c8/97/bd/8fcf017349044072a9f771b86e2b6f41.jpg;https://d30womf5coomej.cloudfront.net/c/7b/ab/d1/11/ace538698b034f3492d2b6146704e88c.jpg;https://d30womf5coomej.cloudfront.net/c/fe/8d/9e/1f/0a86b192474a4bbab2de9660ddc5644f.jpg;https://d30womf5coomej.cloudfront.net/c/8e/12/b7/05/a6772eb9a0964d408480a21df88b8a93.jpg;https://d30womf5coomej.cloudfront.net/c/6a/ee/b5/a4/9eb362eb5a844bd0b5c17c79543a3081.jpg;https://d30womf5coomej.cloudfront.net/c/33/36/9e/c6/00a05b11ae6a4f7b86340276554f8023.jpg;https://d30womf5coomej.cloudfront.net/c/cd/a4/08/1b/30bbc15a7b8a402ba0f8c0f5b5a00e13.jpg;https://d30womf5coomej.cloudfront.net/c/d9/51/67/c3/445ba38a99154f74a0ee4fbe3d2b4c8b.jpg;https://d30womf5coomej.cloudfront.net/c/4e/97/69/e3/8a0746dd94d243b587c97905574d38f4.jpg;https://d30womf5coomej.cloudfront.net/c/3d/f1/da/05/54428d3d1dbe4226b6e827637654a1b6.jpg;https://d30womf5coomej.cloudfront.net/c/bf/43/c5/ac/0e1c932105d244d59a54219eaf232e4d.jpg"
88148,"Arm Love","Slice of Life,Comedy","https://tapastic.com/episode/88148",""
88115,"PLUS-SIZED PHONE","Comedy","https://tapastic.com/episode/88115","https://d30womf5coomej.cloudfront.net/c/28/15/9c/95/eeea67e0927840a8b95dad5e752c3c50.jpg"
88096,"Gay bar","Slice of Life,Comedy","https://tapastic.com/episode/88096","https://d30womf5coomej.cloudfront.net/c/b4/dd/99/17/f8e2b2c8d2844df2a8b4067730da0cc1.jpg"
88063,"God Have Mercy on Me","Comedy,Drama","https://tapastic.com/episode/88063","https://d30womf5coomej.cloudfront.net/c/18/f3/13/fb/b4b6139271bc4dadb71c49df6ec0ec78.jpg;https://d30womf5coomej.cloudfront.net/c/3a/51/4c/c3/ef7889b2b4674721bb4cb47a55e40b06.jpg;https://d30womf5coomej.cloudfront.net/c/a0/ff/82/41/0ddc95f4d0534fedbfc2df3b753ded0f.jpg;https://d30womf5coomej.cloudfront.net/c/68/10/1c/05/f5734b576be44b9aaabc1cb387eb191e.jpg;https://d30womf5coomej.cloudfront.net/c/46/9f/48/77/80d08e43408646ba831e090cf0f25395.jpg;https://d30womf5coomej.cloudfront.net/c/9d/90/84/91/ce0e323acc834027827ca064566eadb9.jpg;https://d30womf5coomej.cloudfront.net/c/fe/f2/98/b4/ed75fd263caf4a0a85b7c114ee6aa39e.jpg;https://d30womf5coomej.cloudfront.net/c/b7/e4/39/cb/c9d2040392914622ad1e1d43373f9871.jpg;https://d30womf5coomej.cloudfront.net/c/38/ff/71/78/051701d790ba4a668456a1286f7e7eb9.jpg;https://d30womf5coomej.cloudfront.net/c/3f/43/69/66/44c48e8625a3472683e06d0968902d21.jpg;https://d30womf5coomej.cloudfront.net/c/32/32/0e/4b/dcf572c9451d448895d2f2cb8225f355.jpg;https://d30womf5coomej.cloudfront.net/c/de/6c/32/80/41db5a73e93c4f859e55b23cbea172c1.jpg;https://d30womf5coomej.cloudfront.net/c/9d/57/83/73/20c4253f69a843daac2811b33dc8dfbc.jpg;https://d30womf5coomej.cloudfront.net/c/6d/5f/6c/f8/86437547470a402a917f927c2f52e833.jpg;https://d30womf5coomej.cloudfront.net/c/4a/85/e2/73/08df9f25222f439983640ebd29a5048f.jpg;https://d30womf5coomej.cloudfront.net/c/ae/e8/21/a7/d785617bcd0947139e8408ef05ae68e2.jpg;https://d30womf5coomej.cloudfront.net/c/fa/17/a0/ef/44e8a9e695c2446e9f2912e306d860c0.jpg"
